mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Bijvoetite-(Y),Y_8_(UO_2_)_16_O_8_(CO_3_)_16_(OH)_8_·39H_2_O,Y<sub>8</sub>(UO<sub>2</sub>)<sub>16</sub>O<sub>8</sub>(CO<sub>3</sub>)<sub>16</sub>(OH)<sub>8</sub>·39H<sub>2</sub>O,Y U O C H
Bikitaite,LiAlSi_2_O_6_·H_2_O,LiAlSi<sub>2</sub>O<sub>6</sub>·H<sub>2</sub>O,Li Al Si O H
Bilinite,Fe^2+^Fe^3+^_2_(S^6+^O_4_)_4_·22H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·22H<sub>2</sub>O,Fe S O H
Billietite,Ba(UO_2_)_6_O_4_(OH)_6_·8H_2_O,Ba(UO<sub>2</sub>)<sub>6</sub>O<sub>4</sub>(OH)<sub>6</sub>·8H<sub>2</sub>O,Ba U O H
Birchite,Cd^2+^_2_Cu^2+^_2_(P^5+^O_4_)_2_S^6+^O_4_·5H_2_O,Cd<sub>2</sub>Cu<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(SO<sub>4</sub>)·5H<sub>2</sub>O,Cd Cu P O S H
Biringuccite,Na_2_B_5_O_8_(OH)·H_2_O,Na<sub>2</sub>B<sub>5</sub>O<sub>8</sub>(OH)·H<sub>2</sub>O,Na B O H
Birnessite,"(Na,Ca,K)_0.6_(Mn^4+^,Mn^3+^)_2_O_4_·1.5H_2_O","(Na,Ca,K)<sub>0.6</sub>(Mn<sup>4+</sup>,Mn<sup>3+</sup>)<sub>2</sub>O<sub>4</sub>·1.5H<sub>2</sub>O",Na Ca K Mn O H
Birunite,Ca_18_(SiO_3_)_8.5_(CO_3_)_8.5_SO_4_·15H_2_O,Ca<sub>18</sub>(SiO<sub>3</sub>)<sub>8.5</sub>(CO<sub>3</sub>)<sub>8.5</sub>(SO<sub>4</sub>)·15H<sub>2</sub>O,Ca Si O C S H
Bischofite,MgCl_2_·6H_2_O,MgCl<sub>2</sub>·6H<sub>2</sub>O,Mg Cl H O
Blatonite,UO_2_CO_3_·H_2_O,(UO<sub>2</sub>)(CO<sub>3</sub>)·H<sub>2</sub>O,U O C H
Blodite,Na_2_Mg(SO_4_)_2_·4H_2_O,Na<sub>2</sub>Mg(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Na Mg S O H
Bluestreakite,K_4_Mg_2_(V^4+^_2_V^5+^_8_O_28_)·14H_2_O,K<sub>4</sub>Mg<sub>2</sub>(V<sup>4+</sup><sub>2</sub>V<sup>5+</sup><sub>8</sub>O<sub>28</sub>)·14H<sub>2</sub>O,K Mg V O H
Bobcookite,NaAl(U^6+^O_2_)_2_(S^6+^O_4_)_4_·18H_2_O,NaAl(UO<sub>2</sub>)<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·18H<sub>2</sub>O,Na Al U O S H
Bobierrite,Mg_3_(PO_4_)_2_·8H_2_O,Mg<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Mg P O H
Bobjonesite,V^4+^OSO_4_·3H_2_O,V<sup>4+</sup>O(SO<sub>4</sub>)·3H<sub>2</sub>O,V O S H
Bobkingite,Cu^2+^_5_Cl_2_(OH)_8_·2H_2_O,Cu<sub>5</sub>Cl<sub>2</sub>(OH)<sub>8</sub>·2H<sub>2</sub>O,Cu Cl O H
Bobtraillite,"(Na,Ca)_13_Sr_11_(Zr^4+^,Y,Nb^5+^)_14_Si_42_B_6_O_132_(OH)_12_·12H_2_O","(Na,Ca)<sub>13</sub>Sr<sub>11</sub>(Zr,Y,Nb)<sub>14</sub>Si<sub>42</sub>B<sub>6</sub>O<sub>132</sub>(OH)<sub>12</sub>·12H<sub>2</sub>O",Na Ca Sr Zr Y Nb Si B O H
Bokite,"(Al,Fe)_1.3_(V^5+^,V^4+^,Fe^3+^)_8_O_20_·7.5H_2_O","(Al,Fe)<sub>1.3</sub>(V<sup>5+</sup>,V<sup>4+</sup>,Fe<sup>3+</sup>)<sub>8</sub>O<sub>20</sub>·7.5H<sub>2</sub>O",Al Fe V O H
Bolivarite,Al_2_PO_4_(OH)_3_·4H_2_O,Al<sub>2</sub>(PO<sub>4</sub>)(OH)<sub>3</sub>·4H<sub>2</sub>O,Al P O H
Boltwoodite,"(K,Na)UO_2_(SiO_3_OH)·1.5H_2_O","(K,Na)(UO<sub>2</sub>)(SiO<sub>3</sub>OH)·1.5H<sub>2</sub>O",K Na U O Si H
Bonattite,Cu^2+^S^6+^O_4_·3H_2_O,Cu(SO<sub>4</sub>)·3H<sub>2</sub>O,Cu S O H
Boothite,Cu^2+^S^6+^O_4_·7H_2_O,Cu(SO<sub>4</sub>)·7H<sub>2</sub>O,Cu S O H
Borax,Na_2_B_4_O_5_(OH)_4_·8H_2_O,Na<sub>2</sub>B<sub>4</sub>O<sub>5</sub>(OH)<sub>4</sub>·8H<sub>2</sub>O,Na B O H
Bostwickite,CaMn^3+^_6_Si_3_O_16_·7H_2_O,CaMn<sup>3+</sup><sub>6</sub>Si<sub>3</sub>O<sub>16</sub>·7H<sub>2</sub>O,Ca Mn Si O H
Botryogen,MgFe^3+^(SO_4_)_2_(OH)·7H_2_O,MgFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>(OH)·7H<sub>2</sub>O,Mg Fe S O H
Bottinoite,Ni^2+^Sb^5+^_2_(OH)_12_·6H_2_O,NiSb<sup>5+</sup><sub>2</sub>(OH)<sub>12</sub>·6H<sub>2</sub>O,Ni Sb O H
Bouazzerite,"Bi^3+^_6_(Mg,Co^2+^)_11_Fe^3+^_14_(As^5+^O_4_)_18_O_12_(OH)_4_·86H_2_O","Bi<sub>6</sub>(Mg,Co)<sub>11</sub>Fe<sub>14</sub>(AsO<sub>4</sub>)<sub>18</sub>O<sub>12</sub>(OH)<sub>4</sub>·86H<sub>2</sub>O",Bi Mg Co Fe As O H
Boussingaultite,(N^3-^H_4_)_2_Mg(S^6+^O_4_)_2_·6H_2_O,(NH<sub>4</sub>)<sub>2</sub>Mg(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,N H Mg S O
Boyleite,Zn^2+^S^6+^O_4_·4H_2_O,Zn(SO<sub>4</sub>)·4H<sub>2</sub>O,Zn S O H
Brandaoite,BeAl_2_(PO_4_)_2_(OH)_2_(H_2_O)_4_·H_2_O,BeAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>4</sub>·H<sub>2</sub>O,Be Al P O H
Brandholzite,MgSb^5+^_2_(OH)_12_·6H_2_O,MgSb<sub>2</sub>(OH)<sub>12</sub>·6H<sub>2</sub>O,Mg Sb O H
Brandtite,Ca_2_Mn^2+^(As^5+^O_4_)_2_·2H_2_O,Ca<sub>2</sub>Mn<sup>2+</sup>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Mn As O H
Brassite,Mg(As^5+^O_3_OH)·4H_2_O,Mg(AsO<sub>3</sub>OH)·4H<sub>2</sub>O,Mg As O H
Braunerite,K_2_Ca(U^6+^O_2_)(C^4+^O_3_)_3_·6H_2_O,K<sub>2</sub>Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O,K Ca U O C H
Brewsterite-Ba,Ba(Al_2_Si_6_)O_16_·5H_2_O,Ba(Al<sub>2</sub>Si<sub>6</sub>)O<sub>16</sub>·5H<sub>2</sub>O,Ba Al Si O H
Brianroulstonite,Ca_3_B_5_O_6_(OH)_7_Cl_2_·8H_2_O,Ca<sub>3</sub>B<sub>5</sub>O<sub>6</sub>(OH)<sub>7</sub>Cl<sub>2</sub>·8H<sub>2</sub>O,Ca B O H Cl
Brockite,"(Ca,Th,Ce)PO_4_·H_2_O","(Ca,Th,Ce)(PO<sub>4</sub>)·H<sub>2</sub>O",Ca Th Ce P O H
Bruggenite,Ca(I^5+^O_3_)_2_·H_2_O,Ca(IO<sub>3</sub>)<sub>2</sub>·H<sub>2</sub>O,Ca I O H
Brugnatellite,Mg_6_Fe^3+^CO_3_(OH)_13_·4H_2_O,Mg<sub>6</sub>Fe<sup>3+</sup>(CO<sub>3</sub>)(OH)<sub>13</sub>·4H<sub>2</sub>O,Mg Fe C O H
Brushite,Ca(PO_3_OH)·2H_2_O,Ca(PO<sub>3</sub>OH)·2H<sub>2</sub>O,Ca P O H
Bukovskyite,Fe^3+^_2_(As^5+^O_4_)(S^6+^O_4_)(OH)·7H_2_O,Fe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)(SO<sub>4</sub>)(OH)·7H<sub>2</sub>O,Fe As O S H
Bulachite,Al_2_As^5+^O_4_(OH)_3_·3H_2_O,Al<sub>2</sub>(AsO<sub>4</sub>)(OH)<sub>3</sub>·3H<sub>2</sub>O,Al As O H
Bultfonteinite,Ca_2_[SiO_3_(OH)]F·H_2_O,Ca<sub>2</sub>SiO<sub>3</sub>(OH)F·H<sub>2</sub>O,Ca Si O H F
Burangaite,NaFe^2+^Al_5_(PO_4_)_4_(OH)_6_·2H_2_O,NaFe<sup>2+</sup>Al<sub>5</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,Na Fe Al P O H
Burovaite-Ca,"(Na,K)_4_Ca_2_(Ti^4+^,Nb^5+^)_8_[Si_4_O_12_]_4_(OH,O)_8_·12H_2_O","(Na,K)<sub>4</sub>Ca<sub>2</sub>(Ti,Nb)<sub>8</sub>[Si<sub>4</sub>O<sub>12</sub>]<sub>4</sub>(OH,O)<sub>8</sub>·12H<sub>2</sub>O",Na K Ca Ti Nb Si O H
Buryatite,"Ca_3_(Si,Fe^3+^,Al)SO_4_B(OH)_4_(OH,O)_6_·12H_2_O","Ca<sub>3</sub>(Si,Fe<sup>3+</sup>,Al)(SO<sub>4</sub>)B(OH)<sub>4</sub>(OH,O)<sub>6</sub>·12H<sub>2</sub>O",Ca Si Fe Al S O B H
Buserite,Na_4_Mn^3+^_6_Mn^4+^_8_O_27_·21H_2_O,Na<sub>4</sub>Mn<sub>14</sub>O<sub>27</sub>·21H<sub>2</sub>O (?),Na Mn O H
Butlerite,Fe^3+^S^6+^O_4_(OH)·2H_2_O,Fe<sup>3+</sup>(SO<sub>4</sub>)(OH)·2H<sub>2</sub>O,Fe S O H
Bykovaite,"(Ba,Na,K)_2_(Na,Ti^4+^,Mn^2+^)_4_(Ti^4+^,Nb^5+^)_2_O_2_Si_4_O_14_(H_2_O,F,OH)_2_·3.5H_2_O","(Ba,Na,K)<sub>2</sub>(Na,Ti,Mn)<sub>4</sub>(Ti,Nb)<sub>2</sub>O<sub>2</sub>Si<sub>4</sub>O<sub>14</sub>(H<sub>2</sub>O,F,OH)<sub>2</sub>·3.5H<sub>2</sub>O",Ba Na K Ti Mn Nb O Si H F
Bystrite,"(Na,K)_7_Ca(Si_6_Al_6_)O_24_(S_3_)_1.5_·H_2_O","(Na,K)<sub>7</sub>Ca(Si<sub>6</sub>Al<sub>6</sub>)O<sub>24</sub>(S<sup>2-</sup>)<sub>1.5</sub>·H<sub>2</sub>O",Na K Ca Si Al O S H
Cabalzarite,CaMg_2_(As^5+^O_4_)_2_·2H_2_O,CaMg<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Mg As O H
Cabvinite,Th^4+^_2_F_7_(OH)·3H_2_O,Th<sub>2</sub>F<sub>7</sub>(OH)·3H<sub>2</sub>O,Th F O H
Cacoxenite,Fe^3+^_24_AlO_6_(PO_4_)_17_(OH)_12_·75H_2_O,Fe<sup>3+</sup><sub>24</sub>AlO<sub>6</sub>(PO<sub>4</sub>)<sub>17</sub>(OH)<sub>12</sub>·75H<sub>2</sub>O,Fe Al O P H
Caesiumpharmacosiderite,CsFe^3+^_4_[(As^5+^O_4_)_3_(OH)_4_]·4H_2_O,CsFe<sub>4</sub>[(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>]·4H<sub>2</sub>O,Cs Fe As O H
Cafetite,CaTi^4+^_2_O_5_·H_2_O,CaTi<sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O,Ca Ti O H
Calcinaksite,KNaCa(Si_4_O_10_)·H_2_O,KNaCa(Si<sub>4</sub>O<sub>10</sub>)·H<sub>2</sub>O,K Na Ca Si O H
Calcioancylite-(Nd),Nd_2.8_Ca_1.2_(CO_3_)_4_(OH)_3_·H_2_O,Nd<sub>2.8</sub>Ca<sub>1.2</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>3</sub>·H<sub>2</sub>O,Nd Ca C O H
Calcioandyrobertsite,KCaCu^2+^_5_(As^5+^O_4_)_4_[As^5+^(OH)_2_O_2_]·2H_2_O,KCaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>[As(OH)<sub>2</sub>O<sub>2</sub>]·2H<sub>2</sub>O,K Ca Cu As O H
Calciocatapleiite,CaZr^4+^Si_3_O_9_·H_2_O,CaZrSi<sub>3</sub>O<sub>9</sub>·2H<sub>2</sub>O,Ca Zr Si O H
Calciocopiapite,CaFe^3+^_4_(SO_4_)_6_(OH)_2_·20H_2_O,CaFe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH)<sub>2</sub>·20H<sub>2</sub>O,Ca Fe S O H
Calciodelrioite,Ca(V^5+^O_3_)_2_·4H_2_O,Ca(VO<sub>3</sub>)<sub>2</sub>·4H<sub>2</sub>O,Ca V O H
Calcioferrite,Ca_4_MgFe^3+^_4_(PO_4_)_6_(OH)_4_·12H_2_O,Ca<sub>4</sub>MgFe<sup>3+</sup><sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O,Ca Mg Fe P O H
Calciohilairite,CaZr^4+^Si_3_O_9_·3H_2_O,CaZrSi<sub>3</sub>O<sub>9</sub>·3H<sub>2</sub>O,Ca Zr Si O H
Calciouranoite,"(Ca,Ba,Pb,K,Na)U_2_O_7_·5H_2_O","(Ca,Ba,Pb,K,Na)U<sub>2</sub>O<sub>7</sub>·5H<sub>2</sub>O",Ca Ba Pb K Na U O H
Calcioursilite,Ca_4_(UO_2_)_4_(Si_2_O_5_)_5_(OH)_6_·15H_2_O,Ca<sub>4</sub>(UO<sub>2</sub>)<sub>4</sub>(Si<sub>2</sub>O<sub>5</sub>)<sub>5</sub>(OH)<sub>6</sub>·15H<sub>2</sub>O,Ca U O Si H
Calkinsite-(Ce),Ce_2_(CO_3_)_3_·4H_2_O,Ce<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>·4H<sub>2</sub>O,Ce C O H
Callaghanite,Cu^2+^_2_Mg_2_CO_3_(OH)_6_·2H_2_O,Cu<sub>2</sub>Mg<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>6</sub>·2H<sub>2</sub>O,Cu Mg C O H
Calumetite,CaCu^2+^_4_(OH)_8_Cl_2_·3.5H_2_O,CaCu<sub>4</sub>(OH)<sub>8</sub>Cl<sub>2</sub>·3.5H<sub>2</sub>O,Ca Cu O H Cl
Camgasite,CaMgAs^5+^O_4_(OH)·5H_2_O,CaMg(AsO<sub>4</sub>)(OH)·5H<sub>2</sub>O,Ca Mg As O H
Campigliaite,Cu^2+^_4_Mn^2+^(S^6+^O_4_)_2_(OH)_6_·4H_2_O,Cu<sub>4</sub>Mn<sup>2+</sup>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,Cu Mn S O H
Canavesite,Mg_2_(HBO_3_)(CO_3_)·5H_2_O,Mg<sub>2</sub>(HBO<sub>3</sub>)(CO<sub>3</sub>)·5H<sub>2</sub>O,Mg H B O C
Cancrinite,"(Na,Ca,[box])_8_(Al_6_Si_6_)O_24_(CO_3_,SO_4_)_2_·2H_2_O","(Na,Ca,[box])<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>)O<sub>24</sub>(CO<sub>3</sub>,SO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O",Na Ca Al Si O C S H
Cancrisilite,Na_7_(Si_7_Al_5_)O_24_(CO_3_)·3H_2_O,Na<sub>7</sub>(Si<sub>7</sub>Al<sub>5</sub>)O<sub>24</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,Na Si Al O C H
Caoxite,Ca(C_2_)^6+^O_4_·3H_2_O,Ca(C<sub>2</sub>O<sub>4</sub>)·3H<sub>2</sub>O,Ca C O H
Carboborite,Ca_2_Mg[B(OH)_4_]_2_(CO_3_)_2_·4H_2_O,Ca<sub>2</sub>Mg[B(OH)<sub>4</sub>]<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>·4H<sub>2</sub>O,Ca Mg B O H C
Carbobystrite,Na_8_(Al_6_Si_6_O_24_)(CO_3_)·4H_2_O,Na<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(CO<sub>3</sub>)·4H<sub>2</sub>O,Na Al Si O C H
Carbokentbrooksite,"(Na,[box])_12_(Na,Ce^3+^)_3_Ca_6_Mn^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_73_(OH)_3_(CO_3_)·H_2_O","(Na,[box])<sub>12</sub>(Na,Ce)<sub>3</sub>Ca<sub>6</sub>Mn<sub>3</sub>Zr<sub>3</sub>NbSi<sub>25</sub>O<sub>73</sub>(OH)<sub>3</sub>(CO<sub>3</sub>)·H<sub>2</sub>O",Na Ce Ca Mn Zr Nb Si O H C
Carbonatecyanotrichite,Cu^2+^_4_Al_2_CO_3_(OH)_12_·2H_2_O,Cu<sub>4</sub>Al<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>12</sub>·2H<sub>2</sub>O,Cu Al C O H
Cardite,Zn^2+^_5.5_(As^5+^O_4_)_2_(As^5+^O_3_OH)(OH)_3_·3H_2_O,Zn<sub>5.5</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)(OH)<sub>3</sub>·3H<sub>2</sub>O,Zn As O H
Caresite,Fe^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O,Fe<sup>2+</sup><sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,Fe Al O H C
Carletonite,"KNa_4_Ca_4_Si_8_O_18_(CO_3_)_4_(F,OH)·H_2_O","KNa<sub>4</sub>Ca<sub>4</sub>Si<sub>8</sub>O<sub>18</sub>(CO<sub>3</sub>)<sub>4</sub>(F,OH)·H<sub>2</sub>O",K Na Ca Si O C F H
Carlhintzeite,Ca_2_AlF_7_·H_2_O,Ca<sub>2</sub>AlF<sub>7</sub>·H<sub>2</sub>O,Ca Al F H O
Carlosbarbosaite,(U^6+^O_2_)_2_Nb^5+^_2_O_6_(OH)_2_·2H_2_O,(UO<sub>2</sub>)<sub>2</sub>Nb<sub>2</sub>O<sub>6</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O,U O Nb H
Carlosruizite,K_3_Na_2_Na_3_Mg_5_(I^5+^O_3_)_6_(Se^6+^O_4_)_6_·6H_2_O,K<sub>3</sub>Na<sub>2</sub>Na<sub>3</sub>Mg<sub>5</sub>(IO<sub>3</sub>)<sub>6</sub>(SeO<sub>4</sub>)<sub>6</sub>·6H<sub>2</sub>O,K Na Mg I O Se H
Carnallite,KMgCl_3_·6H_2_O,KMgCl<sub>3</sub>·6H<sub>2</sub>O,K Mg Cl H O
Carnotite,K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·3H_2_O,K<sub>2</sub>(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·3H<sub>2</sub>O,K U O V H
Carraraite,Ca_3_Ge(SO_4_)(CO_3_)(OH)_6_·12H_2_O,Ca<sub>3</sub>Ge(SO<sub>4</sub>)(CO<sub>3</sub>)(OH)<sub>6</sub>·12H<sub>2</sub>O,Ca Ge S O C H
Cassedanneite,Pb^2+^_5_(V^5+^O_4_)_2_(Cr^6+^O_4_)_2_·H_2_O,Pb<sub>5</sub>(VO<sub>4</sub>)<sub>2</sub>(CrO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,Pb V O Cr H
Catapleiite,Na_2_Zr^4+^Si_3_O_9_·2H_2_O,Na<sub>2</sub>Zr(Si<sub>3</sub>O<sub>9</sub>)·2H<sub>2</sub>O,Na Zr Si O H
Cattiite,Mg_3_(PO_4_)_2_·22H_2_O,Mg<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·22H<sub>2</sub>O,Mg P O H
Caysichite-(Y),"(Ca,Yb,Er)_4_Y_4_Si_8_O_20_(CO_3_)_6_(OH)·7H_2_O","(Ca,Yb,Er)<sub>4</sub>Y<sub>4</sub>(Si<sub>8</sub>O<sub>20</sub>)(CO<sub>3</sub>)<sub>6</sub>(OH)·7H<sub>2</sub>O",Ca Yb Er Y Si O C H
Cesarferreiraite,Fe^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_·8H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Fe As O H
Chabazite-Ca,Ca_2_Al_4_Si_8_O_24_·13H_2_O,Ca<sub>2</sub>[Al<sub>4</sub>Si<sub>8</sub>O<sub>24</sub>]·13H<sub>2</sub>O,Ca Al Si O H
Chabazite-K,(K_2_NaCa_0.5_)Al_4_Si_8_O_24_·11H_2_O,(K<sub>2</sub>NaCa<sub>0.5</sub>)[Al<sub>4</sub>Si<sub>8</sub>O<sub>24</sub>]·11H<sub>2</sub>O,K Na Ca Al Si O H
Chabazite-Na,(Na_3_K)Al_4_Si_8_O_24_·11H_2_O,(Na<sub>3</sub>K)[Al<sub>4</sub>Si<sub>8</sub>O<sub>24</sub>]·11H<sub>2</sub>O,Na K Al Si O H
Chabazite-Sr,"(Sr,Ca)_2_Al_4_Si_8_O_24_·11H_2_O","(Sr,Ca)<sub>2</sub>[Al<sub>4</sub>Si<sub>8</sub>O<sub>24</sub>]·11H<sub>2</sub>O",Sr Ca Al Si O H
Chaidamuite,Zn^2+^Fe^3+^(S^6+^O_4_)_2_(OH)·4H_2_O,ZnFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>(OH)·4H<sub>2</sub>O,Zn Fe S O H
Chalcanthite,Cu^2+^S^6+^O_4_·5H_2_O,Cu(SO<sub>4</sub>)·5H<sub>2</sub>O,Cu S O H
Chalcoalumite,Cu^2+^Al_4_S^6+^O_4_(OH)_12_·3H_2_O,CuAl<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>12</sub>·3H<sub>2</sub>O,Cu Al S O H
Chalcomenite,Cu^2+^Se^4+^O_3_·2H_2_O,Cu(Se<sup>4+</sup>O<sub>3</sub>)·2H<sub>2</sub>O,Cu Se O H
Chalconatronite,Na_2_Cu^2+^(CO_3_)_2_·3H_2_O,Na<sub>2</sub>Cu(CO<sub>3</sub>)<sub>2</sub>·3H<sub>2</sub>O,Na Cu C O H
Chalcophanite,Zn^2+^Mn^4+^_3_O_7_·3H_2_O,ZnMn<sup>4+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,Zn Mn O H
Chalcophyllite,Cu^2+^_18_Al_2_(As^5+^O_4_)_4_(S^6+^O_4_)_3_(OH)_24_·36H_2_O,Cu<sub>18</sub>Al<sub>2</sub>(AsO<sub>4</sub>)<sub>4</sub>(SO<sub>4</sub>)<sub>3</sub>(OH)<sub>24</sub>·36H<sub>2</sub>O,Cu Al As O S H
Chalcosiderite,Cu^2+^Fe^3+^_6_(PO_4_)_4_(OH)_8_·4H_2_O,CuFe<sup>3+</sup><sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,Cu Fe P O H
Changoite,Na_2_Zn^2+^(S^6+^O_4_)_2_·4H_2_O,Na<sub>2</sub>Zn(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Na Zn S O H
Charleshatchettite,CaNb^5+^_4_O_10_(OH)_2_·8H_2_O,CaNb<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Ca Nb O H
Charlesite,"Ca_6_Al_2_(SO_4_)_2_B(OH)_4_(OH,O)_12_·26H_2_O","Ca<sub>6</sub>Al<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>B(OH)<sub>4</sub>(OH,O)<sub>12</sub>·26H<sub>2</sub>O",Ca Al S O B H
Charmarite,Mn^2+^_4_Al_2_(OH)_12_CO_3_·3H_2_O,Mn<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,Mn Al O H C
Chelkarite,CaMgB_2_O_4_Cl_2_·7H_2_O,CaMgB<sub>2</sub>O<sub>4</sub>Cl<sub>2</sub>·7H<sub>2</sub>O (?),Ca Mg B O Cl H
Chernikovite,(H_3_O)(UO_2_)(PO_4_)·3H_2_O,(H<sub>3</sub>O)(UO<sub>2</sub>)(PO<sub>4</sub>)·3H<sub>2</sub>O,H O U P
Chesnokovite,Na_2_SiO_2_(OH)_2_·8H_2_O,Na<sub>2</sub>SiO<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Na Si O H
Chiavennite,CaMn^2+^(BeOH)_2_Si_5_O_13_·2H_2_O,CaMn<sup>2+</sup>(BeOH)<sub>2</sub>Si<sub>5</sub>O<sub>13</sub>·2H<sub>2</sub>O,Ca Mn Be O H Si
Childrenite,Fe^2+^AlPO_4_(OH)_2_·H_2_O,Fe<sup>2+</sup>Al(PO<sub>4</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Fe Al P O H
Chinleite-(Y),NaY^3+^(S^6+^O_4_)_2_·H_2_O,NaY(SO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,Na Y S O H
Chistyakovaite,Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F·6.5H_2_O,Al(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>F·6.5H<sub>2</sub>O,Al U O As F H
Chlorartinite,Mg_2_CO_3_Cl(OH)·2.5H_2_O,Mg<sub>2</sub>(CO<sub>3</sub>)Cl(OH)·2.5H<sub>2</sub>O,Mg C O Cl H
Chongite,Ca_3_Mg_2_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,Ca<sub>3</sub>Mg<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O,Ca Mg As O H
Christelite,Zn^2+^_3_Cu^2+^_2_(S^6+^_4_)_2_(OH)_6_·4H_2_O,Zn<sub>3</sub>Cu<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,Zn Cu S O H
Chrysothallite,K_6_Cu^2+^_6_Tl^3+^Cl^1-^_17_(OH)_4_·H_2_O,K<sub>6</sub>Cu<sub>6</sub>Tl<sup>3+</sup>Cl<sub>17</sub>(OH)<sub>4</sub>·H<sub>2</sub>O,K Cu Tl Cl O H
Chudobaite,Mg_5_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·10H_2_O,Mg<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·10H<sub>2</sub>O,Mg As O H
